,tokenID,name,image,animation_url,pot,pet,bark,leaves,fruit,numberOfFruit,groundCover,background
2,1203,Bonsai #1203,https://ipfs.io/ipfs/Qmet9VZAhN7WnQ4VRwpnrjhcUXvTaBJ8pp46KSGLMfLL9y,https://ipfs.io/ipfs/QmUf5oJMG9AJZYke5znjAa8937RgMG7BXMDY1RUWMVFeno,Sunset Clay,Bamboo,Elm,Summer Elm,None,0,None,day
3,1204,Bonsai #1204,https://ipfs.io/ipfs/QmaBA1yJ4hbd4qEyX3B3BQ1CgrY2xckLSq2V9gXtEnseho,https://ipfs.io/ipfs/QmUsPfnqJdktnjF7XWdCKvSuTXV8AvgE4Kb3BTBtYqKgKE,Modern White,Robin,Elm,Summer Simple,Lemon,11,kerria,day
4,1205,Bonsai #1205,https://ipfs.io/ipfs/QmVDTLg9ZNtrZG7PwBnYZUWRAgrGbMTQKeuSZK5TFrt9Hb,https://ipfs.io/ipfs/QmTHGMfay88s78SED42y7HrXty7ddQUANr7q9WouyzVh9Z,Modern White,Golden Mantis,Elm,Summer Elm,None,0,hydrangea,day
5,1206,Bonsai #1206,https://ipfs.io/ipfs/QmRZGVueHNs3W6TUJfigd6jkLJ44kTfgycH5BXmaDxe2dK,https://ipfs.io/ipfs/Qmd25wc3HCVYnWsGEtBg27smqcwgsYfS2C9YzWCYJYo3zR,Red Plastic,None,Birch,Fall Simple,Young Seed,13,kerria,night
6,1207,Bonsai #1207,https://ipfs.io/ipfs/QmcjgCvWMY7ovnrfsBtV1MvLaqtJhRL8Fp9JouA7EbfjG4,https://ipfs.io/ipfs/QmWcc4MC9bkbqCGnZRVRdAHE6x6m1arLTYnqq2eQcyke8A,Red Plastic,None,Cedar,Yakisugi Maple,None,0,hydrangea,night
7,1208,Bonsai #1208,https://ipfs.io/ipfs/QmZJyG4NkFdUDTYHz7MnyXuxR4pvpti22Ph2LGBF77F9QC,https://ipfs.io/ipfs/QmbhQ1aDqXwhUSPdJt3ZkSmkrA3NApKdPudtHiX6Hr2mfc,Emperor's Gold,Bamboo,Cedar,Fall Simple,Persimmon,8,grass,night
8,1209,Bonsai #1209,https://ipfs.io/ipfs/Qme6WSKKFNHsqFRfaR75r2oSTXL1USW4NtPrupHGRfAxQw,https://ipfs.io/ipfs/QmNRC6rP9YpaDVYueV3YpuMKPH3SLqeuiEBxnzqfPH7uLT,Emperor's Gold,Mantis,Yakisugi,Golden Maple,Fuji Apple,12,None,day
9,1210,Bonsai #1210,https://ipfs.io/ipfs/QmShCiHEbeLMSkrzwFFVzLvvjRQqMXarNFrjprP1Jshyit,https://ipfs.io/ipfs/QmQw5PxMB12c7tBQ5w4BhqXb4yQ1g4eK22w6mJBAo8DM75,Yellow Plastic,Magpie,Wenge,Summer Simple,Cherry,12,rock,day
10,1211,Bonsai #1211,https://ipfs.io/ipfs/QmRHESMf4GcF7H1HkfZibA9Wz63J9Jq4VMTSAQjuGSjiHq,https://ipfs.io/ipfs/QmWueg1R1azy2kZWzewkKg7oJFVk7vfUAFDFCVMUhkQb8V,Aged Terra Cotta,Bamboo,Cedar,Yakisugi Maple,Cherry,14,rock,day
11,1212,Bonsai #1212,https://ipfs.io/ipfs/QmaLjJqXWpRmkqB25LK3WrLCABe7FZapnraqaz27HsNj5A,https://ipfs.io/ipfs/QmXoAnJneYiJR526ip5VWY7cDQfmRhR6jAc44NpdgroR8F,Aged Terra Cotta,Robin,Elm,Momo Maple,Mutsu Apple,21,None,day
